"Time Study from ,""2020-12-01 12:17:35"""
"Statistic values,""Lap time"",""IM"",""TMU"",""DM"",""HM"",""CYCLE"""
"Averages,""00:08,497"",""0,24"",""0,14"",""13"",""236"",""17"""
"Min values,""00:00,639"",""0,02"",""0,01"",""1"",""18"",""1"""
"Min values,""01:23,197"",""2,31"",""1,39"",""138"",""2311"",""94"""
"Lap No,""Time"",""Total time"",""Seconds consecutive"",""Lap time"",""IMa"",""TMU"",""DMa"",""HM"",""CYCLE"",""LONG_LAP_UPDATED_TIME (can be deleted by user)"",""LONG_UPDATED_TIME (can be deleted by user)"""
"62,""11:54:38"",""07:05,445"",""425"",""00:13,227"",""0,367417"",""367,416656"",""0,220450"",""22"",""4,536176"",""13227"",""425445"""
"63,""11:54:41"",""07:08,409"",""428"",""00:02,964"",""0,082333"",""82,333336"",""0,049400"",""4"",""20,242916"",""2964"",""428409"""
"64,""11:54:51"",""07:17,993"",""437"",""00:09,584"",""0,266222"",""266,222229"",""0,159733"",""15"",""6,260434"",""9584"",""437993"""
"65,""11:54:54"",""07:21,638"",""441"",""00:03,645"",""0,101250"",""101,250000"",""0,060750"",""6"",""16,460905"",""3645"",""441638"""
"66,""11:54:57"",""07:24,590"",""444"",""00:02,952"",""0,082000"",""82,000000"",""0,049200"",""4"",""20,325205"",""2952"",""444590"""
"67,""11:54:59"",""07:26,084"",""446"",""00:01,494"",""0,041500"",""41,500000"",""0,024900"",""2"",""40,160645"",""1494"",""446084"""
"68,""11:55:14"",""07:41,370"",""461"",""00:15,286"",""0,424611"",""424,611115"",""0,254767"",""25"",""3,925160"",""15286"",""461370"""
"69,""11:55:24"",""07:51,278"",""471"",""00:09,908"",""0,275222"",""275,222229"",""0,165133"",""16"",""6,055713"",""9908"",""471278"""
"70,""11:55:29"",""07:56,539"",""476"",""00:05,261"",""0,146139"",""146,138885"",""0,087683"",""8"",""11,404675"",""5261"",""476539"""
"71,""11:55:36"",""08:03,462"",""483"",""00:06,923"",""0,192306"",""192,305557"",""0,115383"",""11"",""8,666763"",""6923"",""483462"""
"72,""11:55:52"",""08:19,420"",""499"",""00:15,958"",""0,443278"",""443,277771"",""0,265967"",""26"",""3,759869"",""15958"",""499420"""
"73,""11:55:55"",""08:22,694"",""502"",""00:03,274"",""0,090944"",""90,944443"",""0,054567"",""5"",""18,326206"",""3274"",""502694"""
"74,""11:56:06"",""08:33,573"",""513"",""00:10,879"",""0,302194"",""302,194458"",""0,181317"",""18"",""5,515213"",""10879"",""513573"""
"75,""11:56:24"",""08:51,462"",""531"",""00:17,889"",""0,496917"",""496,916656"",""0,298150"",""29"",""3,354016"",""17889"",""531462"""
"76,""11:56:27"",""08:54,319"",""534"",""00:02,857"",""0,079361"",""79,361115"",""0,047617"",""4"",""21,001049"",""2857"",""534319"""
"77,""11:57:17"",""09:44,072"",""584"",""00:49,753"",""1,382028"",""1382,027832"",""0,829217"",""82"",""1,205957"",""49753"",""584072"""
"78,""11:57:22"",""09:48,919"",""588"",""00:04,847"",""0,134639"",""134,638885"",""0,080783"",""8"",""12,378791"",""4847"",""588919"""
"79,""11:57:25"",""09:52,389"",""592"",""00:03,470"",""0,096389"",""96,388885"",""0,057833"",""5"",""17,291067"",""3470"",""592389"""
"80,""11:57:36"",""10:02,853"",""602"",""00:10,464"",""0,290667"",""290,666656"",""0,174400"",""17"",""5,733945"",""10464"",""602853"""
"81,""11:57:39"",""10:06,582"",""606"",""00:03,729"",""0,103583"",""103,583336"",""0,062150"",""6"",""16,090105"",""3729"",""606582"""
"82,""11:57:47"",""10:14,188"",""614"",""00:07,606"",""0,211278"",""211,277771"",""0,126767"",""12"",""7,888509"",""7606"",""614188"""
"83,""11:57:49"",""10:15,767"",""615"",""00:01,579"",""0,043861"",""43,861111"",""0,026317"",""2"",""37,998734"",""1579"",""615767"""
"84,""11:57:51"",""10:17,917"",""617"",""00:02,150"",""0,059722"",""59,722221"",""0,035833"",""3"",""27,906975"",""2150"",""617917"""
