"Time Study from ","2020-11-20 12:38:16"
"Statistic values","Lap time","IM","TMU","DM","HM","CYCLE"
"Averages","00:04,353","0,12","0,07","6","121","23"
"Min values","00:00,749","0,02","0,01","1","21","1"
"Min values","00:45,895","1,27","0,76","76","1275","80"
"Lap No","Time","Total time","Seconds consecutive","Lap time","IMa","TMU","DMa","HM","CYCLE","LONG_LAP_UPDATED_TIME (can be deleted by user)","LONG_UPDATED_TIME (can be deleted by user)"
"286","12:28:08","20:12,393","1212","00:01,965","0,054583","54,583332","0,032750","3","30,534351","1965","1212393"
"287","12:28:13","20:17,408","1217","00:05,015","0,139306","139,305557","0,083583","8","11,964108","5015","1217408"
"288","12:28:15","20:19,891","1219","00:02,483","0,068972","68,972221","0,041383","4","24,164318","2483","1219891"
"289","12:28:17","20:21,506","1221","00:01,615","0,044861","44,861111","0,026917","2","37,151703","1615","1221506"
"290","12:28:21","20:25,687","1225","00:04,181","0,116139","116,138885","0,069683","6","14,350634","4181","1225687"
"291","12:28:32","20:36,949","1236","00:11,262","0,312833","312,833344","0,187700","18","5,327651","11262","1236949"
"292","12:28:35","20:39,415","1239","00:02,466","0,068500","68,500000","0,041100","4","24,330898","2466","1239415"
"293","12:28:38","20:42,149","1242","00:02,734","0,075944","75,944443","0,045567","4","21,945868","2734","1242149"
"294","12:28:41","20:45,345","1245","00:03,196","0,088778","88,777779","0,053267","5","18,773466","3196","1245345"
"295","12:28:46","20:50,277","1250","00:04,932","0,137000","137,000000","0,082200","8","12,165449","4932","1250277"
"296","12:28:50","20:54,508","1254","00:04,231","0,117528","117,527779","0,070517","7","14,181045","4231","1254508"
"297","12:28:51","20:55,893","1255","00:01,385","0,038472","38,472221","0,023083","2","43,321301","1385","1255893"
"298","12:28:54","20:58,657","1258","00:02,764","0,076778","76,777779","0,046067","4","21,707672","2764","1258657"
"299","12:29:07","21:11,333","1271","00:12,676","0,352111","352,111115","0,211267","21","4,733355","12676","1271333"
"300","12:29:08","21:12,617","1272","00:01,284","0,035667","35,666668","0,021400","2","46,728970","1284","1272617"
"301","12:29:10","21:14,966","1274","00:02,349","0,065250","65,250000","0,039150","3","25,542784","2349","1274966"
"302","12:29:32","21:36,805","1296","00:21,839","0,606639","606,638916","0,363983","36","2,747379","21839","1296805"
"303","12:29:42","21:46,667","1306","00:09,862","0,273944","273,944458","0,164367","16","6,083958","9862","1306667"
"304","12:29:43","21:47,918","1307","00:01,251","0,034750","34,750000","0,020850","2","47,961628","1251","1307918"
"305","12:29:47","21:51,182","1311","00:03,264","0,090667","90,666664","0,054400","5","18,382353","3264","1311182"
"306","12:29:49","21:53,964","1313","00:02,782","0,077278","77,277779","0,046367","4","21,567217","2782","1313964"
